ID,Ho,Ten,Lop,Khoa,Gioi tinh,Ngay sinh,ID xa hoi
22219@student.hcmus.edu.vn,Pham Thi,Chi,22DTVT3,Dien Tu Vien Thong,Nu,04/09/2004,825039494,22219
22220@student.hcmus.edu.vn,Ngo Ngoc,Duong,22DC,Dia Chat,Nu,01/06/2004,437291815,22220
22221@student.hcmus.edu.vn,Phan Van,Nam,22DC,Dia Chat,Nu,10/05/2004,999872878,22221
22222@student.hcmus.edu.vn,Le Thi,Chi,22DC,Dia Chat,Nu,24/09/2004,515310434,22222
22223@student.hcmus.edu.vn,Phan Quoc,Oanh,22DC,Dia Chat,Nu,18/10/2004,283320349,22223
22224@student.hcmus.edu.vn,Dang Quoc,Hung,22DC,Dia Chat,Nam,14/03/2004,186572464,22224
22225@student.hcmus.edu.vn,Ho Xuan,Quynh,22DC,Dia Chat,Nam,12/01/2004,529789162,22225
22226@student.hcmus.edu.vn,Truong Xuan,Khanh,22DC,Dia Chat,Nu,04/02/2004,877097433,22226
22227@student.hcmus.edu.vn,Le Van,Quoc,22DC,Dia Chat,Nam,22/02/2004,866225173,22227
22228@student.hcmus.edu.vn,Pham Quoc,Dung,22DC,Dia Chat,Nu,07/11/2004,340445584,22228
22229@student.hcmus.edu.vn,Ho Ngoc,Quynh,22DC,Dia Chat,Nam,28/07/2004,707345071,22229
22230@student.hcmus.edu.vn,Nguyen Tuan,Nhi,22DC,Dia Chat,Nam,12/12/2004,531185682,22230
22231@student.hcmus.edu.vn,Ngo Gia,Hung,22DC,Dia Chat,Nam,27/04/2004,726248910,22231
22232@student.hcmus.edu.vn,Ngo Ngoc,Cong,22DC,Dia Chat,Nam,09/08/2004,906166919,22232
22233@student.hcmus.edu.vn,Ho Thi,Giang,22DC,Dia Chat,Nu,01/05/2004,558413489,22233
22234@student.hcmus.edu.vn,Le Tuan,Duc,22DC,Dia Chat,Nam,13/09/2004,185649812,22234
22235@student.hcmus.edu.vn,Truong Van,Xuan,22DC,Dia Chat,Nam,24/06/2004,525740089,22235
22236@student.hcmus.edu.vn,Le Van,Giang,22DC,Dia Chat,Nu,04/08/2004,548170694,22236
22237@student.hcmus.edu.vn,Le Gia,Duc,22DC,Dia Chat,Nam,06/10/2004,323292813,22237
22238@student.hcmus.edu.vn,Pham Van,Oanh,22DC,Dia Chat,Nam,18/04/2004,133400151,22238
22239@student.hcmus.edu.vn,Ho Quoc,Hung,22DC,Dia Chat,Nu,09/02/2004,650051646,22239
22240@student.hcmus.edu.vn,Truong Gia,Cuong,22DVL,Vat Ly,Nu,13/01/2004,133833166,22240
22241@student.hcmus.edu.vn,Dinh Xuan,Huong,22DVL,Vat Ly,Nu,09/12/2004,260916263,22241
22242@student.hcmus.edu.vn,Hoang Tuan,Cong,22DVL,Vat Ly,Nu,18/02/2004,972946963,22242
22243@student.hcmus.edu.vn,Le Ngoc,Minh,22DVL,Vat Ly,Nam,04/12/2004,858861284,22243
22244@student.hcmus.edu.vn,Phan Ngoc,Duc,22DVL,Vat Ly,Nam,11/03/2004,187603588,22244
22245@student.hcmus.edu.vn,Hoang Quoc,Dung,22DVL,Vat Ly,Nam,04/08/2004,359297564,22245
22246@student.hcmus.edu.vn,Nguyen Thi,Danh,22DVL,Vat Ly,Nu,14/08/2004,882542957,22246
22247@student.hcmus.edu.vn,Ngo Quoc,Hai,22DVL,Vat Ly,Nam,20/03/2004,385668493,22247
22248@student.hcmus.edu.vn,Hoang Xuan,Dat,22DVL,Vat Ly,Nu,05/11/2004,439257058,22248
22249@student.hcmus.edu.vn,Ngo Quoc,Linh,22DVL,Vat Ly,Nam,09/11/2004,889874050,22249
22250@student.hcmus.edu.vn,Tran Tuan,Anh,22DVL,Vat Ly,Nam,19/11/2004,173449533,22250
22251@student.hcmus.edu.vn,Truong Thi,Duong,22DVL,Vat Ly,Nu,07/12/2004,109329552,22251
22252@student.hcmus.edu.vn,Dang Tuan,Bao,22DVL,Vat Ly,Nu,27/07/2004,156271782,22252
22253@student.hcmus.edu.vn,Nguyen Gia,Khanh,22DVL,Vat Ly,Nam,28/06/2004,268729258,22253
22254@student.hcmus.edu.vn,Le Thi,Bao,22DVL,Vat Ly,Nu,06/02/2004,569278742,22254
22255@student.hcmus.edu.vn,Ngo Quoc,Anh,22DVL,Vat Ly,Nu,10/07/2004,138300547,22255
22256@student.hcmus.edu.vn,Truong Xuan,Oanh,22DVL,Vat Ly,Nu,10/12/2004,464653258,22256
22257@student.hcmus.edu.vn,Truong Tuan,Minh,22DVL,Vat Ly,Nu,25/03/2004,272146051,22257
22258@student.hcmus.edu.vn,Hoang Xuan,Hung,22DVL,Vat Ly,Nu,12/02/2004,668127666,22258
22259@student.hcmus.edu.vn,Dinh Tuan,Linh,22DVL,Vat Ly,Nu,11/04/2004,463226328,22259
22260@student.hcmus.edu.vn,Tran Gia,Quoc,22VLCLC,Vat Ly,Nam,04/10/2004,134838405,22260
22261@student.hcmus.edu.vn,Dinh Van,Linh,22VLCLC,Vat Ly,Nam,08/02/2004,504447947,22261
22262@student.hcmus.edu.vn,Truong Tuan,Minh,22VLCLC,Vat Ly,Nam,23/12/2004,222119582,22262
22263@student.hcmus.edu.vn,Hoang Thi,Nhi,22VLCLC,Vat Ly,Nu,20/05/2004,715124397,22263
22264@student.hcmus.edu.vn,Nguyen Gia,Oanh,22VLCLC,Vat Ly,Nam,27/02/2004,513260919,22264
22265@student.hcmus.edu.vn,Ho Gia,Hung,22VLCLC,Vat Ly,Nam,12/08/2004,459365180,22265
22266@student.hcmus.edu.vn,Tran Ngoc,Dung,22VLCLC,Vat Ly,Nam,28/05/2004,878343141,22266
22267@student.hcmus.edu.vn,Pham Gia,Cong,22VLCLC,Vat Ly,Nu,22/07/2004,868004175,22267
22268@student.hcmus.edu.vn,Hoang Tuan,Xuan,22VLCLC,Vat Ly,Nam,15/09/2004,381420984,22268
22269@student.hcmus.edu.vn,Ngo Gia,Dat,22VLCLC,Vat Ly,Nam,05/06/2004,472334867,22269
22270@student.hcmus.edu.vn,Tran Gia,Danh,22VLCLC,Vat Ly,Nu,26/04/2004,781515629,22270
22271@student.hcmus.edu.vn,Le Tuan,Anh,22VLCLC,Vat Ly,Nu,20/09/2004,212477798,22271
22272@student.hcmus.edu.vn,Phan Xuan,Oanh,22VLCLC,Vat Ly,Nam,28/02/2004,506386175,22272
22273@student.hcmus.edu.vn,Phan Thi,An,22VLCLC,Vat Ly,Nu,08/01/2004,448956048,22273
22274@student.hcmus.edu.vn,Dinh Xuan,Hung,22VLCLC,Vat Ly,Nam,06/10/2004,337533704,22274
22275@student.hcmus.edu.vn,Truong Quoc,Nhi,22VLCLC,Vat Ly,Nu,08/05/2004,319095532,22275
22276@student.hcmus.edu.vn,Dinh Xuan,Anh,22VLCLC,Vat Ly,Nu,03/06/2004,268856061,22276
22277@student.hcmus.edu.vn,Truong Thi,Nhi,22VLCLC,Vat Ly,Nu,14/02/2004,939558100,22277
22278@student.hcmus.edu.vn,Dinh Thi,Binh,22VLCLC,Vat Ly,Nu,09/05/2004,819798211,22278
22279@student.hcmus.edu.vn,Nguyen Van,Nhi,22VLCLC,Vat Ly,Nu,08/09/2004,698600852,22279
22280@student.hcmus.edu.vn,Pham Ngoc,An,22HH1,Hoa Hoc,Nam,13/11/2004,105449193,22280
22281@student.hcmus.edu.vn,Truong Thi,Quoc,22HH1,Hoa Hoc,Nam,05/01/2004,700051650,22281
22282@student.hcmus.edu.vn,Hoang Van,Huong,22HH1,Hoa Hoc,Nu,06/03/2004,113274041,22282
22283@student.hcmus.edu.vn,Dang Xuan,Duong,22HH1,Hoa Hoc,Nam,05/09/2004,782478868,22283
22284@student.hcmus.edu.vn,Pham Tuan,Dung,22HH1,Hoa Hoc,Nam,24/08/2004,163200419,22284
22285@student.hcmus.edu.vn,Le Van,An,22HH1,Hoa Hoc,Nu,20/07/2004,533211031,22285
22286@student.hcmus.edu.vn,Ho Tuan,Binh,22HH1,Hoa Hoc,Nu,13/01/2004,271599044,22286
22287@student.hcmus.edu.vn,Hoang Xuan,Chi,22HH1,Hoa Hoc,Nam,21/07/2004,411485405,22287
22288@student.hcmus.edu.vn,Nguyen Quoc,Cong,22HH1,Hoa Hoc,Nu,22/07/2004,375919939,22288
22289@student.hcmus.edu.vn,Le Tuan,An,22HH1,Hoa Hoc,Nu,14/04/2004,518716082,22289
22290@student.hcmus.edu.vn,Phan Thi,Oanh,22HH1,Hoa Hoc,Nam,23/03/2004,969937837,22290
22291@student.hcmus.edu.vn,Dang Thi,Xuan,22HH1,Hoa Hoc,Nu,04/07/2004,549990959,22291
22292@student.hcmus.edu.vn,Truong Tuan,Nhi,22HH1,Hoa Hoc,Nam,22/05/2004,583774086,22292
22293@student.hcmus.edu.vn,Tran Thi,Quoc,22HH1,Hoa Hoc,Nu,14/12/2004,668318372,22293
22294@student.hcmus.edu.vn,Le Gia,An,22HH1,Hoa Hoc,Nu,11/03/2004,708138399,22294
22295@student.hcmus.edu.vn,Pham Xuan,Quoc,22HH1,Hoa Hoc,Nu,02/08/2004,158766641,22295
22296@student.hcmus.edu.vn,Pham Ngoc,Linh,22HH1,Hoa Hoc,Nam,27/04/2004,125819213,22296
22297@student.hcmus.edu.vn,Dinh Thi,Hung,22HH1,Hoa Hoc,Nam,24/04/2004,784700632,22297
22298@student.hcmus.edu.vn,Nguyen Tuan,Phuong,22HH1,Hoa Hoc,Nu,26/05/2004,848187592,22298
22299@student.hcmus.edu.vn,Dinh Xuan,Duc,22HH1,Hoa Hoc,Nu,21/01/2004,195496088,22299
22300@student.hcmus.edu.vn,Dinh Tuan,Quynh,22HH2,Hoa Hoc,Nam,14/01/2004,574537457,22300
22301@student.hcmus.edu.vn,Ho Xuan,Phuong,22HH2,Hoa Hoc,Nam,25/08/2004,144929150,22301
22302@student.hcmus.edu.vn,Nguyen Van,Linh,22HH2,Hoa Hoc,Nam,24/09/2004,992458143,22302
22303@student.hcmus.edu.vn,Ho Gia,Dat,22HH2,Hoa Hoc,Nam,18/08/2004,869858637,22303
22304@student.hcmus.edu.vn,Truong Gia,Hai,22HH2,Hoa Hoc,Nam,25/08/2004,171860044,22304
22305@student.hcmus.edu.vn,Truong Thi,Danh,22HH2,Hoa Hoc,Nam,04/11/2004,678773043,22305
22306@student.hcmus.edu.vn,Truong Thi,Quynh,22HH2,Hoa Hoc,Nu,07/09/2004,535066338,22306
22307@student.hcmus.edu.vn,Ngo Thi,Chi,22HH2,Hoa Hoc,Nam,14/03/2004,876709851,22307
22308@student.hcmus.edu.vn,Hoang Gia,Khanh,22HH2,Hoa Hoc,Nu,18/03/2004,786678627,22308
22309@student.hcmus.edu.vn,Nguyen Quoc,Hung,22HH2,Hoa Hoc,Nam,28/09/2004,894146203,22309
22310@student.hcmus.edu.vn,Phan Xuan,Xuan,22HH2,Hoa Hoc,Nu,08/01/2004,861547611,22310
22311@student.hcmus.edu.vn,Tran Thi,Phuong,22HH2,Hoa Hoc,Nam,07/04/2004,715602228,22311
22312@student.hcmus.edu.vn,Dinh Tuan,Quynh,22HH2,Hoa Hoc,Nu,12/06/2004,780881280,22312
22313@student.hcmus.edu.vn,Phan Thi,Oanh,22HH2,Hoa Hoc,Nam,17/11/2004,133998827,22313
22314@student.hcmus.edu.vn,Ngo Quoc,Cong,22HH2,Hoa Hoc,Nam,14/01/2004,622733778,22314
22315@student.hcmus.edu.vn,Ngo Thi,Binh,22HH2,Hoa Hoc,Nam,02/01/2004,445418575,22315
22316@student.hcmus.edu.vn,Hoang Thi,Phuong,22HH2,Hoa Hoc,Nam,26/11/2004,347399778,22316
22317@student.hcmus.edu.vn,Ho Ngoc,Minh,22HH2,Hoa Hoc,Nu,24/01/2004,125146213,22317
22318@student.hcmus.edu.vn,Dang Thi,Huong,22HH2,Hoa Hoc,Nam,25/01/2004,700341939,22318
22319@student.hcmus.edu.vn,Ho Quoc,Giang,22HH2,Hoa Hoc,Nam,28/07/2004,423467279,22319
22320@student.hcmus.edu.vn,Pham Thi,Oanh,Cong Nghe Thong Tin,Nam,16/11/2004,512224321,22320
